Timecode List:,00:00:05.505,00:00:18.560,00:00:20.395,00:00:22.105,00:00:26.193,00:00:34.243,00:00:43.168,00:00:47.506,00:00:49.216,00:00:50.300,00:00:54.221,00:00:55.472,00:00:56.723,00:00:57.975,00:00:59.226,00:01:00.477,00:01:05.607,00:01:12.322,00:01:24.918,00:01:27.462,00:01:31.800,00:01:33.427,00:02:01.163,00:02:01.788,00:02:03.665,00:03:49.062,00:03:56.403,00:03:58.363,00:03:59.239,00:04:02.576,00:04:08.540,00:04:11.626,00:04:14.337,00:04:15.630,00:04:17.466,00:04:23.930,00:04:27.350,00:04:28.894,00:04:38.695,00:04:43.533,00:05:03.845,00:06:00.402,00:06:05.740,00:06:06.366,00:06:08.118,00:06:14.291,00:06:15.500,00:06:17.294
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,132,00:00:05.505,5.505,132,00:00:05.505,5.505
2,132,00:00:05.505,5.505,445,00:00:18.560,18.560,313,00:00:13.055,13.055
3,445,00:00:18.560,18.560,489,00:00:20.395,20.395,44,00:00:01.835,1.835
4,489,00:00:20.395,20.395,530,00:00:22.105,22.105,41,00:00:01.710,1.710
5,530,00:00:22.105,22.105,628,00:00:26.193,26.193,98,00:00:04.087,4.087
6,628,00:00:26.193,26.193,821,00:00:34.243,34.243,193,00:00:08.050,8.050
7,821,00:00:34.243,34.243,1035,00:00:43.168,43.168,214,00:00:08.926,8.926
8,1035,00:00:43.168,43.168,1139,00:00:47.506,47.506,104,00:00:04.338,4.338
9,1139,00:00:47.506,47.506,1180,00:00:49.216,49.216,41,00:00:01.710,1.710
10,1180,00:00:49.216,49.216,1206,00:00:50.300,50.300,26,00:00:01.084,1.084
11,1206,00:00:50.300,50.300,1300,00:00:54.221,54.221,94,00:00:03.921,3.921
12,1300,00:00:54.221,54.221,1330,00:00:55.472,55.472,30,00:00:01.251,1.251
13,1330,00:00:55.472,55.472,1360,00:00:56.723,56.723,30,00:00:01.251,1.251
14,1360,00:00:56.723,56.723,1390,00:00:57.975,57.975,30,00:00:01.251,1.251
15,1390,00:00:57.975,57.975,1420,00:00:59.226,59.226,30,00:00:01.251,1.251
16,1420,00:00:59.226,59.226,1450,00:01:00.477,60.477,30,00:00:01.251,1.251
17,1450,00:01:00.477,60.477,1573,00:01:05.607,65.607,123,00:00:05.130,5.130
18,1573,00:01:05.607,65.607,1734,00:01:12.322,72.322,161,00:00:06.715,6.715
19,1734,00:01:12.322,72.322,2036,00:01:24.918,84.918,302,00:00:12.596,12.596
20,2036,00:01:24.918,84.918,2097,00:01:27.462,87.462,61,00:00:02.544,2.544
21,2097,00:01:27.462,87.462,2201,00:01:31.800,91.800,104,00:00:04.338,4.338
22,2201,00:01:31.800,91.800,2240,00:01:33.427,93.427,39,00:00:01.627,1.627
23,2240,00:01:33.427,93.427,2905,00:02:01.163,121.163,665,00:00:27.736,27.736
24,2905,00:02:01.163,121.163,2920,00:02:01.788,121.788,15,00:00:00.626,0.626
25,2920,00:02:01.788,121.788,2965,00:02:03.665,123.665,45,00:00:01.877,1.877
26,2965,00:02:03.665,123.665,5492,00:03:49.062,229.062,2527,00:01:45.397,105.397
27,5492,00:03:49.062,229.062,5668,00:03:56.403,236.403,176,00:00:07.341,7.341
28,5668,00:03:56.403,236.403,5715,00:03:58.363,238.363,47,00:00:01.960,1.960
29,5715,00:03:58.363,238.363,5736,00:03:59.239,239.239,21,00:00:00.876,0.876
30,5736,00:03:59.239,239.239,5816,00:04:02.576,242.576,80,00:00:03.337,3.337
31,5816,00:04:02.576,242.576,5959,00:04:08.540,248.540,143,00:00:05.964,5.964
32,5959,00:04:08.540,248.540,6033,00:04:11.626,251.626,74,00:00:03.086,3.086
33,6033,00:04:11.626,251.626,6098,00:04:14.337,254.337,65,00:00:02.711,2.711
34,6098,00:04:14.337,254.337,6129,00:04:15.630,255.630,31,00:00:01.293,1.293
35,6129,00:04:15.630,255.630,6173,00:04:17.466,257.466,44,00:00:01.835,1.835
36,6173,00:04:17.466,257.466,6328,00:04:23.930,263.930,155,00:00:06.465,6.465
37,6328,00:04:23.930,263.930,6410,00:04:27.350,267.350,82,00:00:03.420,3.420
38,6410,00:04:27.350,267.350,6447,00:04:28.894,268.894,37,00:00:01.543,1.543
39,6447,00:04:28.894,268.894,6682,00:04:38.695,278.695,235,00:00:09.801,9.801
40,6682,00:04:38.695,278.695,6798,00:04:43.533,283.533,116,00:00:04.838,4.838
41,6798,00:04:43.533,283.533,7285,00:05:03.845,303.845,487,00:00:20.312,20.312
42,7285,00:05:03.845,303.845,8641,00:06:00.402,360.402,1356,00:00:56.556,56.556
43,8641,00:06:00.402,360.402,8769,00:06:05.740,365.740,128,00:00:05.339,5.339
44,8769,00:06:05.740,365.740,8784,00:06:06.366,366.366,15,00:00:00.626,0.626
45,8784,00:06:06.366,366.366,8826,00:06:08.118,368.118,42,00:00:01.752,1.752
46,8826,00:06:08.118,368.118,8974,00:06:14.291,374.291,148,00:00:06.173,6.173
47,8974,00:06:14.291,374.291,9003,00:06:15.500,375.500,29,00:00:01.210,1.210
48,9003,00:06:15.500,375.500,9046,00:06:17.294,377.294,43,00:00:01.793,1.793
49,9046,00:06:17.294,377.294,9300,00:06:27.887,387.887,254,00:00:10.594,10.594
